TimeStamp,StaticAnalyzerTool,ErrorMsg,ErrorType,ErrorCertainty,FilePath,FileName,LineNumber,ErrorCount,
2019-09-19 2:24:39 PM,NDepend,# Types,NA,NA,NA,NA,NA,10,
2019-09-19 2:24:39 PM,NDepend,# Public Types,NA,NA,NA,NA,NA,3,
2019-09-19 2:24:39 PM,NDepend,# Classes,NA,NA,NA,NA,NA,8,
2019-09-19 2:24:39 PM,NDepend,# Abstract Classes,NA,NA,NA,NA,NA,0,
2019-09-19 2:24:39 PM,NDepend,# Interfaces,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,# Structures,NA,NA,NA,NA,NA,1,
2019-09-19 2:24:39 PM,NDepend,# Methods,NA,NA,NA,NA,NA,18,
2019-09-19 2:24:39 PM,NDepend,# Abstract Methods,NA,NA,NA,NA,NA,2,
2019-09-19 2:24:39 PM,NDepend,# Concrete Methods,NA,NA,NA,NA,NA,16,
2019-09-19 2:24:39 PM,NDepend,# Fields,NA,NA,NA,NA,NA,8,
2019-09-19 2:24:39 PM,NDepend,Max # Lines of Code for Methods (JustMyCode),NA,NA,NA,NA,NA,39,
2019-09-19 2:24:39 PM,NDepend,Average # Lines of Code for Methods,NA,NA,NA,NA,NA,8.69,
2019-09-19 2:24:39 PM,NDepend,Average # Lines of Code for Methods with at least 3 Lines of Code,NA,NA,NA,NA,NA,13.3,
2019-09-19 2:24:39 PM,NDepend,Max # Lines of Code for Types (JustMyCode),NA,NA,NA,NA,NA,39,
2019-09-19 2:24:39 PM,NDepend,Average # Lines of Code for Types,NA,NA,NA,NA,NA,17.38,
2019-09-19 2:24:39 PM,NDepend,Max Cyclomatic Complexity for Methods,NA,NA,NA,NA,NA,5,
2019-09-19 2:24:39 PM,NDepend,Average Cyclomatic Complexity for Methods,NA,NA,NA,NA,NA,1.81,
2019-09-19 2:24:39 PM,NDepend,Max IL Cyclomatic Complexity for Methods,NA,NA,NA,NA,NA,28,
2019-09-19 2:24:39 PM,NDepend,Average IL Cyclomatic Complexity for Methods,NA,NA,NA,NA,NA,4.06,
2019-09-19 2:24:39 PM,NDepend,Max IL Nesting Depth for Methods,NA,NA,NA,NA,NA,6,
